Module,Version WAVES,Channel
actinet,0.4.2,pypi
actipy,3.8.0,pypi
bzip2,1.0.8,conda-forge
ca-certificates,2026.7.22,conda-forge
certifi,2026.7.22,pypi
charset-normalizer,3.5.1,pypi
colorama,0.4.6,pypi
cycler,0.12.1,pypi
fonttools,4.60.2,pypi
idna,3.18,pypi
imbalanced-learn,0.9.1,pypi
joblib,1.2.0,pypi
kiwisolver,1.4.7,pypi
libexpat,2.8.1,conda-forge
libffi,3.7.0,conda-forge
liblzma,5.8.3,conda-forge
libsqlite,3.53.4,conda-forge
libzlib,1.3.2,conda-forge
matplotlib,3.5.3,pypi
numpy,1.24.4,pypi
openjdk,25.0.2,conda-forge
openssl,3.6.3,conda-forge
packaging,26.3,pypi
pandas,2.0.3,pypi
patsy,1.0.2,pypi
pillow,11.3.0,pypi
pip,25.2,conda-forge
pyparsing,3.3.2,pypi
python,3.9.23,conda-forge
python-dateutil,2.9.0.post0,pypi
pytz,2026.3.post1,pypi
requests,2.32.5,pypi
scikit-learn,1.1.1,pypi
scipy,1.10.1,pypi
setuptools,80.9.0,conda-forge
six,1.17.0,pypi
statsmodels,0.14.6,pypi
symlink-exe-runtime,1.0,conda-forge
threadpoolctl,3.6.0,pypi
tk,8.6.13,conda-forge
torch,1.13.1,pypi
torchvision,0.14.1,pypi
tqdm,4.64.1,pypi
transforms3d,0.4.2,pypi
typing-extensions,4.16.0,pypi
tzdata,2026.3,pypi
ucrt,10.0.26100.0,conda-forge
urllib3,2.6.3,pypi
vc,14.5,conda-forge
vc14_runtime,14.51.36247,conda-forge
vcomp14,14.51.36247,conda-forge
wheel,0.45.1,conda-forge
