Module,Version WAVES,Channel
beiwe-forest,1.0,pypi
bzip2,1.0.8,conda-forge
ca-certificates,2026.7.22,conda-forge
certifi,2026.7.22,pypi
cffi,2.1.1,conda-forge
charset-normalizer,3.5.1,pypi
decorator,5.3.1,pypi
h3,4.4.1,conda-forge
h3-py,4.4.1,conda-forge
holidays,0.103,pypi
idna,3.18,pypi
joblib,1.5.3,pypi
lazy-loader,0.5,pypi
libblas,3.11.0,conda-forge
libcblas,3.11.0,conda-forge
libexpat,2.8.1,conda-forge
libffi,3.7.0,conda-forge
libhwloc,2.13.0,conda-forge
libiconv,1.18,conda-forge
liblapack,3.11.0,conda-forge
liblzma,5.8.3,conda-forge
librosa,1.0.0,pypi
libsqlite,3.53.4,conda-forge
libwinpthread,12.0.0.r4.gg4f2fc60ca,conda-forge
libxml2,2.15.3,conda-forge
libxml2-16,2.15.3,conda-forge
libzlib,1.3.2,conda-forge
llvm-openmp,22.1.8,conda-forge
llvmlite,0.49.0,pypi
mkl,2026.1.0,conda-forge
msgpack,1.2.1,pypi
narwhals,2.24.0,pypi
numba,0.67.0,pypi
numpy,2.5.2,conda-forge
openrouteservice,2.3.3,pypi
openssl,3.6.3,conda-forge
packaging,26.3,conda-forge
pandas,3.0.5,pypi
pip,26.2.1,conda-forge
platformdirs,4.11.3,pypi
pooch,1.9.0,pypi
pycparser,3.0,conda-forge
pyproj,3.7.2,pypi
python,3.12.13,conda-forge
python-dateutil,2.9.0.post0,pypi
python-flatbuffers,25.12.19,conda-forge
python_abi,3.12,conda-forge
pytz,2026.3.post1,pypi
ratelimit,2.2.1,pypi
requests,2.34.2,pypi
scikit-learn,1.9.0,pypi
scipy,1.18.0,pypi
setuptools,84.0.0,conda-forge
shapely,2.1.2,pypi
six,1.17.0,pypi
soundfile,0.14.0,pypi
soxr,1.1.0,pypi
ssqueezepy,0.6.6,pypi
tbb,2023.0.0,conda-forge
threadpoolctl,3.6.0,pypi
timezonefinder,8.1.0,conda-forge
tk,8.6.13,conda-forge
typing-extensions,4.16.0,pypi
tzdata,2026.3,pypi
ucrt,10.0.26100.0,conda-forge
urllib3,2.7.0,pypi
vc,14.5,conda-forge
vc14_runtime,14.51.36247,conda-forge
vcomp14,14.51.36247,conda-forge
wheel,0.48.0,conda-forge
