Module,Version WAVES,Channel
audioread,3.1.0,pypi
bzip2,1.0.8,conda-forge
ca-certificates,2026.7.22,conda-forge
certifi,2026.7.22,pypi
cffi,2.1.1,pypi
charset-normalizer,3.5.1,pypi
decorator,5.3.1,pypi
flatbuffers,25.12.19,pypi
forest-analysis,1.0.dev3,pypi
h3,4.5.0,pypi
holidays,0.103,pypi
idna,3.18,pypi
joblib,1.5.3,pypi
lazy-loader,0.5,pypi
libexpat,2.8.1,conda-forge
libffi,3.7.0,conda-forge
liblzma,5.8.3,conda-forge
librosa,0.11.0,pypi
libsqlite,3.53.4,conda-forge
libzlib,1.3.2,conda-forge
llvmlite,0.49.0,pypi
msgpack,1.2.1,pypi
narwhals,2.24.0,pypi
numba,0.67.0,pypi
numpy,2.4.6,pypi
openrouteservice,2.3.3,pypi
openssl,3.6.3,conda-forge
packaging,26.3,conda-forge
pandas,3.0.5,pypi
pip,26.2.1,conda-forge
platformdirs,4.11.3,pypi
pooch,1.9.0,pypi
pycparser,3.0,pypi
pyproj,3.7.2,pypi
python,3.11.15,conda-forge
python-dateutil,2.9.0.post0,pypi
pytz,2026.3.post1,pypi
ratelimit,2.2.1,pypi
requests,2.34.2,pypi
scikit-learn,1.9.0,pypi
scipy,1.17.1,pypi
setuptools,84.0.0,conda-forge
shapely,2.1.2,pypi
six,1.17.0,pypi
soundfile,0.14.0,pypi
soxr,1.1.0,pypi
ssqueezepy,0.6.6,pypi
threadpoolctl,3.6.0,pypi
timezonefinder,8.2.5,pypi
tk,8.6.13,conda-forge
typing-extensions,4.16.0,pypi
tzdata,2026.3,pypi
ucrt,10.0.26100.0,conda-forge
urllib3,2.7.0,pypi
vc,14.5,conda-forge
vc14_runtime,14.51.36247,conda-forge
vcomp14,14.51.36247,conda-forge
wheel,0.48.0,conda-forge
