Module,Version WAVES,Channel
_openmp_mutex,4.5,conda-forge
actipy,3.8.0,pypi
alsa-lib,1.2.16.1,conda-forge
bzip2,1.0.8,conda-forge
ca-certificates,2026.7.22,conda-forge
cairo,1.18.4,conda-forge
certifi,2026.7.22,pypi
charset-normalizer,3.4.9,pypi
contourpy,1.3.0,pypi
cycler,0.12.1,pypi
font-ttf-dejavu-sans-mono,2.37,conda-forge
font-ttf-inconsolata,3.000,conda-forge
font-ttf-source-code-pro,2.038,conda-forge
font-ttf-ubuntu,0.83,conda-forge
fontconfig,2.18.2,conda-forge
fonts-conda-ecosystem,1,conda-forge
fonts-conda-forge,1,conda-forge
fonttools,4.60.2,pypi
giflib,5.2.2,conda-forge
graphite2,1.3.15,conda-forge
harfbuzz,12.3.2,conda-forge
hmmlearn,0.3.3,pypi
icu,78.3,conda-forge
idna,3.18,pypi
imbalanced-learn,0.9.1,pypi
importlib-resources,6.5.2,pypi
joblib,1.2.0,pypi
keyutils,1.6.3,conda-forge
kiwisolver,1.4.7,pypi
krb5,1.22.2,conda-forge
lcms2,2.19.1,conda-forge
ld_impl_linux-64,2.46.1,conda-forge
lerc,4.2.0,conda-forge
libcups,2.3.3,conda-forge
libdeflate,1.25,conda-forge
libedit,3.1.20250104,conda-forge
libexpat,2.8.1,conda-forge
libffi,3.7.0,conda-forge
libfreetype,2.14.3,conda-forge
libfreetype6,2.14.3,conda-forge
libgcc,16.1.0,conda-forge
libgcc-ng,16.1.0,conda-forge
libglib,2.86.3,pkgs/main
libgomp,16.1.0,conda-forge
libiconv,1.18,conda-forge
libjpeg-turbo,3.2.0,conda-forge
liblzma,5.8.3,conda-forge
libnsl,2.0.1,conda-forge
libpng,1.6.58,conda-forge
libsqlite,3.53.4,conda-forge
libstdcxx,16.1.0,conda-forge
libtiff,4.7.2,conda-forge
libuuid,2.42.2,conda-forge
libwebp-base,1.6.0,conda-forge
libxcb,1.17.0,conda-forge
libxcrypt,4.4.36,conda-forge
libzlib,1.3.2,conda-forge
llvmlite,0.41.1,pypi
matplotlib,3.7.5,pypi
ncurses,6.6,conda-forge
numba,0.58.1,pypi
numpy,1.24.4,pypi
nvidia-cublas-cu11,11.10.3.66,pypi
nvidia-cuda-nvrtc-cu11,11.7.99,pypi
nvidia-cuda-runtime-cu11,11.7.99,pypi
nvidia-cudnn-cu11,8.5.0.96,pypi
openjdk,25.0.2,conda-forge
openssl,3.6.3,conda-forge
packaging,26.2,pypi
pandas,2.0.3,pypi
patsy,1.0.2,pypi
pcre2,10.46,conda-forge
pillow,11.3.0,pypi
pip,25.2,conda-forge
pixman,0.46.4,conda-forge
pthread-stubs,0.4,conda-forge
pyparsing,3.3.2,pypi
python,3.9.23,conda-forge
python-dateutil,2.9.0.post0,pypi
pytz,2026.3.post1,pypi
readline,8.3,conda-forge
requests,2.32.5,pypi
scikit-learn,1.1.1,pypi
scipy,1.10.1,pypi
setuptools,80.9.0,conda-forge
six,1.17.0,pypi
statsmodels,0.14.6,pypi
stepcount,3.17.0,pypi
threadpoolctl,3.6.0,pypi
tk,8.6.13,conda-forge
torch,1.13.1,pypi
torchvision,0.14.1,pypi
tqdm,4.64.1,pypi
transforms3d,0.4.2,pypi
typing-extensions,4.16.0,pypi
tzdata,2026.3,pypi
urllib3,2.6.3,pypi
wheel,0.45.1,conda-forge
xorg-libice,1.1.2,conda-forge
xorg-libsm,1.2.6,conda-forge
xorg-libx11,1.8.13,conda-forge
xorg-libxau,1.0.12,conda-forge
xorg-libxdmcp,1.1.5,conda-forge
xorg-libxext,1.3.7,conda-forge
xorg-libxfixes,6.0.2,conda-forge
xorg-libxi,1.8.3,conda-forge
xorg-libxrandr,1.5.5,conda-forge
xorg-libxrender,0.9.12,conda-forge
xorg-libxt,1.3.1,conda-forge
xorg-libxtst,1.2.5,conda-forge
zipp,3.23.1,pypi
zlib,1.3.2,conda-forge
zstd,1.5.7,conda-forge
