Module,Version WAVES,Channel
accelerometer,7.3.0,pypi
bzip2,1.0.8,conda-forge
ca-certificates,2026.7.22,conda-forge
colorama,0.4.6,pypi
cycler,0.12.1,pypi
fonttools,4.60.2,pypi
imbalanced-learn,0.8.1,pypi
joblib,1.1.1,pypi
kiwisolver,1.4.7,pypi
libblas,3.9.0,conda-forge
libcblas,3.9.0,conda-forge
libexpat,2.8.1,conda-forge
libffi,3.7.0,conda-forge
libhwloc,2.11.2,conda-forge
libiconv,1.18,conda-forge
liblapack,3.9.0,conda-forge
liblzma,5.8.3,conda-forge
libsqlite,3.53.4,conda-forge
libxml2,2.13.9,conda-forge
libzlib,1.3.2,conda-forge
llvm-openmp,22.1.8,conda-forge
m2w64-gcc-libgfortran,5.3.0,conda-forge
m2w64-gcc-libs,5.3.0,conda-forge
m2w64-gcc-libs-core,5.3.0,conda-forge
m2w64-gmp,6.1.0,conda-forge
m2w64-libwinpthread-git,5.0.0.4634.697f757,conda-forge
matplotlib,3.5.3,pypi
mkl,2024.2.2,conda-forge
msys2-conda-epoch,20160418,conda-forge
numpy,1.21.0,conda-forge
openjdk,25.0.2,conda-forge
openssl,3.6.3,conda-forge
packaging,26.3,pypi
pandas,1.3.0,conda-forge
patsy,1.0.2,pypi
pillow,11.3.0,pypi
pip,25.2,conda-forge
pthreads-win32,2.9.1,conda-forge
pyparsing,3.3.2,pypi
python,3.9.23,conda-forge
python-dateutil,2.9.0.post0,conda-forge
python_abi,3.9,conda-forge
pytz,2025.2,conda-forge
scikit-learn,1.0.2,pypi
scipy,1.7.0,conda-forge
setuptools,59.8.0,conda-forge
six,1.17.0,conda-forge
statsmodels,0.13.5,pypi
symlink-exe-runtime,1.0,conda-forge
tbb,2021.13.0,conda-forge
threadpoolctl,3.6.0,pypi
tk,8.6.13,conda-forge
tqdm,4.65.2,pypi
tzdata,2026c,conda-forge
ucrt,10.0.26100.0,conda-forge
vc,14.5,conda-forge
vc14_runtime,14.51.36247,conda-forge
vcomp14,14.51.36247,conda-forge
vs2015_runtime,14.51.36247,conda-forge
wheel,0.45.1,conda-forge
