Package,Version WAVES,requirement,channel
actinet,0.4.2,actinet=0.4.2,pypi
actipy,3.8.0,actipy=3.8.0,pypi
bzip2,1.0.8,bzip2=1.0.8,conda-forge
ca-certificates,2025.11.12,ca-certificates=2025.11.12,conda-forge
certifi,2025.11.12,certifi=2025.11.12,pypi
charset-normalizer,3.4.4,charset-normalizer=3.4.4,pypi
colorama,0.4.6,colorama=0.4.6,pypi
cycler,0.12.1,cycler=0.12.1,pypi
fonttools,4.60.1,fonttools=4.60.1,pypi
idna,3.11,idna=3.11,pypi
imbalanced-learn,0.9.1,imbalanced-learn=0.9.1,pypi
joblib,1.2.0,joblib=1.2.0,pypi
kiwisolver,1.4.7,kiwisolver=1.4.7,pypi
libexpat,2.7.3,libexpat=2.7.3,conda-forge
libffi,3.5.2,libffi=3.5.2,conda-forge
liblzma,5.8.1,liblzma=5.8.1,conda-forge
libsqlite,3.51.1,libsqlite=3.51.1,conda-forge
libzlib,1.3.1,libzlib=1.3.1,conda-forge
matplotlib,3.5.3,matplotlib=3.5.3,pypi
numpy,1.24.4,numpy=1.24.4,pypi
openjdk,25.0.1,openjdk=25.0.1,conda-forge
openssl,3.6.0,openssl=3.6.0,conda-forge
packaging,25,packaging=25.0,pypi
pandas,2.0.3,pandas=2.0.3,pypi
patsy,1.0.2,patsy=1.0.2,pypi
pillow,11.3.0,pillow=11.3.0,pypi
pip,25.2,pip=25.2,conda-forge
pyparsing,3.2.5,pyparsing=3.2.5,pypi
python,3.9.23,python=3.9.23,conda-forge
python-dateutil,2.9.0.post0,python-dateutil=2.9.0.post0,pypi
pytz,2025.2,pytz=2025.2,pypi
requests,2.32.5,requests=2.32.5,pypi
scikit-learn,1.1.1,scikit-learn=1.1.1,pypi
scipy,1.10.1,scipy=1.10.1,pypi
setuptools,80.9.0,setuptools=80.9.0,conda-forge
six,1.17.0,six=1.17.0,pypi
statsmodels,0.14.6,statsmodels=0.14.6,pypi
symlink-exe-runtime,1,symlink-exe-runtime=1.0,conda-forge
threadpoolctl,3.6.0,threadpoolctl=3.6.0,pypi
tk,8.6.13,tk=8.6.13,conda-forge
torch,1.13.1,torch=1.13.1,pypi
torchvision,0.14.1,torchvision=0.14.1,pypi
tqdm,4.64.1,tqdm=4.64.1,pypi
transforms3d,0.4.2,transforms3d=0.4.2,pypi
typing-extensions,4.15.0,typing-extensions=4.15.0,pypi
tzdata,2025.2,tzdata=2025.2,pypi
ucrt,10.0.26100.0,ucrt=10.0.26100.0,conda-forge
urllib3,2.6.1,urllib3=2.6.1,pypi
vc,14.3,vc=14.3,conda-forge
vc14_runtime,14.44.35208,vc14_runtime=14.44.35208,conda-forge
vcomp14,14.44.35208,vcomp14=14.44.35208,conda-forge
vs2015_runtime,14.44.35208,vs2015_runtime=14.44.35208,conda-forge
wheel,0.45.1,wheel=0.45.1,conda-forge
