Package,Version WAVES,requirement,channel
audioread,3.1.0,audioread=3.1.0,pypi
bzip2,1.0.8,bzip2=1.0.8,conda-forge
ca-certificates,2026.1.4,ca-certificates=2026.1.4,conda-forge
certifi,2026.1.4,certifi=2026.1.4,pypi
cffi,2.0.0,cffi=2.0.0,pypi
charset-normalizer,3.4.4,charset-normalizer=3.4.4,pypi
decorator,5.2.1,decorator=5.2.1,pypi
flatbuffers,25.12.19,flatbuffers=25.12.19,pypi
forest-analysis,1.0.dev3,forest-analysis=1.0.dev3,pypi
h3,4.4.1,h3=4.4.1,pypi
holidays,0.89,holidays=0.89,pypi
idna,3.11,idna=3.11,pypi
joblib,1.5.3,joblib=1.5.3,pypi
lazy-loader,0.4,lazy-loader=0.4,pypi
libexpat,2.7.3,libexpat=2.7.3,conda-forge
libffi,3.5.2,libffi=3.5.2,conda-forge
librosa,0.11.0,librosa=0.11.0,pypi
libzlib,1.3.1,libzlib=1.3.1,conda-forge
llvmlite,0.46.0,llvmlite=0.46.0,pypi
msgpack,1.1.2,msgpack=1.1.2,pypi
numba,0.63.1,numba=0.63.1,pypi
numpy,2.3.5,numpy=2.3.5,pypi
openrouteservice,2.3.3,openrouteservice=2.3.3,pypi
openssl,3.6.0,openssl=3.6.0,conda-forge
packaging,26.0,packaging=26.0,conda-forge
pandas,3.0.0,pandas=3.0.0,pypi
pip,25.3,pip=25.3,conda-forge
platformdirs,4.5.1,platformdirs=4.5.1,pypi
pooch,1.8.2,pooch=1.8.2,pypi
pycparser,3,pycparser=3.0,pypi
pyproj,3.7.2,pyproj=3.7.2,pypi
python,3.11.14,python=3.11.14,conda-forge
python-dateutil,2.9.0.post0,python-dateutil=2.9.0.post0,pypi
pytz,2025.2,pytz=2025.2,pypi
ratelimit,2.2.1,ratelimit=2.2.1,pypi
requests,2.32.5,requests=2.32.5,pypi
scikit-learn,1.8.0,scikit-learn=1.8.0,pypi
scipy,1.17.0,scipy=1.17.0,pypi
setuptools,80.10.1,setuptools=80.10.1,conda-forge
shapely,2.1.2,shapely=2.1.2,pypi
six,1.17.0,six=1.17.0,pypi
soundfile,0.13.1,soundfile=0.13.1,pypi
soxr,1.0.0,soxr=1.0.0,pypi
ssqueezepy,0.6.6,ssqueezepy=0.6.6,pypi
threadpoolctl,3.6.0,threadpoolctl=3.6.0,pypi
timezonefinder,8.2.1,timezonefinder=8.2.1,pypi
tk,8.6.13,tk=8.6.13,conda-forge
typing-extensions,4.15.0,typing-extensions=4.15.0,pypi
tzdata,2025.3,tzdata=2025.3,pypi
urllib3,2.6.3,urllib3=2.6.3,pypi
wheel,0.46.2,wheel=0.46.2,conda-forge
